name,abbreviation,staff_tests,staff_tests_with_multiples,weekly_staff_cases,total_staff_cases,weekly_staff_recovered,staff_recovered,weekly_staff_deaths,total_staff_deaths,weekly_prisoner_tests,prisoner_tests,prisoner_tests_with_multiples,weekly_prisoner_cases,total_prisoner_cases,weekly_prisoners_recovered,prisoners_recovered,total_prisoner_deaths,as_of_date,notes
Minnesota,MN,,,,55,,54,,0,,2530,,,125,,,0,6/2/20,
Mississippi,MS,123,,,18,,,,,,73,,,30,,,1,6/2/20,1 prisoner death based on news reporting
Missouri,MO,830,,,32,,,,0,,2963,,,48,,28,1,6/2/20,Recently started staff testing--this doesnt include tests staff got on their own
Montana,MT,,,,244,,,,0,,,,,969,,,4,11/23/20,Staff numbers include 55 cases at the privately run Crossroads Correctional.
Nebraska,NE,,,,,,,,,,,,,,,,,,
Nevada,NV,,,,23,,22,,0,,3425,,,5,,0,0,6/2/20,
New Hampshire,NH,,,,11,,11,,0,,21,,,1,,0,0,6/2/20,
New Jersey,NJ,,,,767,,,,3,,,,,2062,,,46,6/2/20,Staff deaths based on media reporting.
New Mexico,NM,2295,,,8,,3,,0,,,3325,,164,,0,1,6/2/20,
New York,NY,,,,1280,,1135,,4,,1228,,,511,,444,16,6/2/20,
North Carolina,NC,250,,,,,,,1,,1855,,,683,,615,5,6/2/20,Staff tests from Neuse CI only
North Dakota,ND,568,659,,4,,4,,0,,1515,1603,,5,,4,0,6/2/20,"In early January 2020, North Dakota's Department of Corrections and Rehabilitation revised its testing figures, back to the beginning of the pandemic. We have updated our figures here accordingly."
Ohio,OH,,,,675,,523,,4,,10151,,,4769,,4143,75,6/2/20,"After reviewing death certificates, Ohio later revised its number of deaths."
Oklahoma,OK,,,,14,,,,0,,,1700,,2,,1,0,6/2/20,The number of tests conducted was mistakenly placed in the column for people tested. This has been updated.
Oregon,OR,,,,46,,24,,0,,,611,,165,,101,1,6/2/20,"The number of tests conducted had been in the wrong column, for the number of prisoners tested, and has been corrected."
Pennsylvania,PA,785,,,178,,115,,1,,2871,,,244,,182,8,6/2/20,The number of prisoner cases and tests were later revised to exclude those who tested positive while released on parole.
Rhode Island,RI,1031,,,16,,,,0,,1068,,,15,,,0,6/1/20,"In early July, Rhode Island began releasing information on ""presumed positive"" cases which we are not including in these numbers and prompted us to revise our counts. For earlier weeks, we are reexamining the figures to try to remove the ""presumed"" cases from the counts and are withholding those figures for now. The earlier data: The 16 staff cases include a mix of staff tested by DOC and tested in the community. / The 21 prisoner cases include 6 that were held pre-trial (in the equivalent of jail, tho RI is a unified system), all of whom have since been released."
South Carolina,SC,,,,77,,52,,1,,331,,,95,,51,2,6/2/20,
South Dakota,SD,54,,,3,,3,,0,,94,,,3,,3,0,6/2/20,
Tennessee,TN,4526,,,94,,61,,0,,,22123,,2888,,2652,4,6/3/20,
Texas,TX,,20180,,966,,470,,7,,,62937,,6592,,1550,40,6/2/20,Texas' testing numbers may include multiple tests of a single prisoner or staff member and have been moved to the _with_multiples column.
Utah,UT,,,,4,,,,,,,211,,11,,10,0,6/2/20,The number of tests conducted was mistakenly placed in the column for the total number of people tested. This has been updated.
Vermont,VT,,,,20,,19,,0,,872,,,45,,43,0,6/2/20,"At the end of June, Vermont said it had inadvertantly counted some prisoners with positive cases more than once for several weeks. We've since revised this week's prisoner case counts accordingly."
Virginia,VA,,,,140,,,,,,,,,1228,,671,9,6/1/20,
Washington,WA,,,,49,,,,1,,494,,,56,,,,6/2/20,Staff death based on past week's reporting.
West Virginia,WV,245,,,9,,8,,0,,1480,,,119,,21,0,6/2/20,"Testing for staff will increase in coming weeks because they are testing all facilities. Until early November, West Virginia’s Department of Corrections and Rehabilitation reported staff cases for juvenile facilities and jails combined with prisons and work release. After they began providing itemized numbers on staff cases on Nov. 3, we only included staff numbers from prisons and work release sites in our data releases. In our online tracker, we have gone back to the past weeks of data and estimated the staff breakdown based on the overall size of the staff for each sector."
Wisconsin,WI,,,,54,,30,,0,,5785,,,258,,32,0,6/2/20,
Wyoming,WY,18,,,1,,,,0,,32,,,0,,,0,6/5/20,
Federal,US,,,,623,,448,,0,,,,,5815,,3788,73,6/2/20,
Alabama,AL,,,,55,,10,,0,,152,,,11,,8,1,5/26/20,
Alaska,AK,,,,11,,,,0,,500,,,2,,,0,5/27/20,
Arizona,AZ,,,,75,,59,,0,,1071,,,183,,52,7,5/27/20,
Arkansas,AR,,808,,135,,101,,1,,,2713,,1251,,910,8,5/27/20,The number of recovered prisoners and staff were updated. An earlier version included the numbers of deaths in the recovered count.
California,CA,,,1036,6939,644,5117,0,10,1961,112305,,3029,22508,1847,18028,90,12/4/20,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
Colorado,CO,,,,35,,34,,0,,3481,,,593,,464,2,5/27/20,
Connecticut,CT,,,,378,,355,,0,,948,,,853,,522,7,5/28/20,
,,,,,,,,,,,,,,,,,,,
Florida,FL,,,,256,,,,0,,12411,,,1434,,,11,5/27/20,
Georgia,GA,,,,159,,95,,1,,,,,415,,277,17,5/27/20,"For most weeks prior to Sept. 15, the prisoner cases and recoveries for Georgia inadvertently counted some cases in private prisons and county facilities twice. These figures have been corrected throughout."
Hawaii,HI,,,,0,,0,,0,,30,,,0,,0,0,5/27/20,
Idaho,ID,80,,,5,,5,,0,,57,,,0,,0,0,5/27/20,
Illinois,IL,,,,172,,142,,0,,650,,,215,,185,13,5/28/20,
Indiana,IN,1104,,,277,,200,,2,,1339,,,656,,472,18,5/27/20,"Staff tests and cases and prisoners tests and cases were later revised to exclude three juvenile facilities administered by the corrections department. Prior to Feb. 1, 2021, Indiana counted some people more than once in their prisoners recovered numbers, if someone who had been considered recovered once tested positive a second time (though the positives were counted only once) and then recovered again. After Feb. 1, they say they are only reporting unique people recovered, so be careful when comparing this figure to more recent weeks."
Iowa,IA,,,,16,,9,,0,,1160,,,23,,8,0,5/27/20,We updated the number of prisoners who had recovered after Iowa revised its count when one tested positive again.
Kansas,KS,450,,,111,,50,,2,,,2186,,865,,852,4,5/27/20,The state prison spokesman could only provide an estimate of how many staff members have been tested. The estimate was the same as last week. Staff cases and prisoner tests were later revised to exclude a juvenile facility administered by the corrections department.
Kentucky,KY,,,,53,,40,,0,,,,,359,,43,2,5/27/20,
Louisiana,LA,,,,149,,70,,3,,,,,511,,38,14,5/27/20,"In recent weeks, Louisiana adjusted their figures upon finding in some instances, they were counting positive tests rather than individuals. This resulted in a drop in the number of reported staff cases this week."
Maine,ME,,,,1,,1,,0,,494,,,4,,0,0,5/27/20,
Maryland,MD,,,,251,,157,,0,,,,,145,,39,6,5/25/20,
Massachusetts,MA,,,,182,,120,,0,,5724,,,396,,281,8,5/25/20,On Aug. 27 we changed our Massachusetts data source to the Massachusetts Supreme Judicial Court. The previous dataset from the Department of Corrections excluded prisoner releases and staff recoveries. All data beginning with April 22 onward has been updated to use SJC figures.
Michigan,MI,1826,,,359,,,,2,,38145,,,3341,,292,62,5/27/20,
Minnesota,MN,,,,55,,,,0,,2491,,,124,,,0,5/27/20,
Mississippi,MS,91,,,15,,,,,,69,,,28,,,1,5/27/20,
Missouri,MO,,,,27,,,,0,,1348,1606,,45,,18,1,5/27/20,
Montana,MT,,,,266,,,,0,,,,,1011,,,4,11/30/20,"Staff cases include 55 employees of the Crossroads Correctional Facility, run by CoreCivic."
Nebraska,NE,,,,12,,,,,,,,,7,,,,5/27/20,"Nebraska has not returned repeated calls for comment. In this week, a state oversight body provided a figure. We have since revised the number based on Nebraska’s official accounting of cases."
Nevada,NV,,,,21,,18,,0,,,,,5,,0,0,5/28/20,
New Hampshire,NH,,,,11,,11,,0,,17,,,1,,0,0,5/27/20,
New Jersey,NJ,,,,743,,,,3,,11505,,,1592,,,43,5/27/20,Three staff deaths according to media reports.
New Mexico,NM,2248,,,5,,,,0,,,,,43,,0,0,5/28/20,
New York,NY,,,,1275,,1119,,4,,1155,,,493,,414,16,5/27/20,
North Carolina,NC,250,,,,,,,1,,1376,,,650,,577,5,5/27/20,"Staff tests from 1 prison, otherwise not testing"
North Dakota,ND,434,437,,4,,4,,0,,916,948,,4,,0,0,5/26/20,"In early January 2020, North Dakota's Department of Corrections and Rehabilitation revised its testing figures, back to the beginning of the pandemic. We have updated our figures here accordingly."
Ohio,OH,,,,660,,491,,4,,9343,,,4694,,4137,70,5/27/20,"After reviewing death certificates, Ohio later revised its number of deaths."
Oklahoma,OK,,,,10,,,,,,,1535,,2,,1,0,5/27/20,"1 person recovered. The other person was released before results came in, so unclear if they are recovered yet. The number of tests conducted was mistakenly placed in the column for people tested. This has been updated."
Oregon,OR,,,,43,,9,,0,,,583,,154,,47,1,5/27/20,"The number of tests conducted had been in the wrong column, for the number of prisoners tested, and has been corrected."
Pennsylvania,PA,650,,,174,,108,,1,,2098,,,207,,167,6,5/27/20,The number of prisoner cases and tests were later revised to exclude those who tested positive while released on parole.
Rhode Island,RI,935,,,16,,,,0,,720,,,11,,,0,5/28/20,"In early July, Rhode Island began releasing information on ""presumed positive"" cases which we are not including in these numbers and prompted us to revise our counts. For earlier weeks, we are reexamining the figures to try to remove the ""presumed"" cases from the counts and are withholding those figures for now.. Earlier versions of this data for prisoner cases include 6 pre-trial jail inmates who are no longer there — RI is a unified system so these are the equivalent of jail inmates in other states."
South Carolina,SC,,,,71,,47,,1,,,,,79,,42,2,5/28/20,
South Dakota,SD,54,,,3,,3,,0,,90,,,3,,2,0,5/27/20,
Tennessee,TN,4526,,,79,,47,,0,,,20816,,2661,,2593,4,5/27/20,"Since testing everyone in all of their prisons, Tennessee has said it is releasing the total number of tests conducted and positive cases, and not the number of prisoners tested. One prisoner could have tested positive more than once in this sum. For the staff, Tennessee has revised the number of people tested."
Texas,TX,,17123,,878,,,,7,,,51536,,4440,,1349,36,5/27/20,"Earlier updates to the data overcounted the number of employee tests by adding ""Strike Team Tests"" to ""Reported Tests."" TDCJ has now confirmed that ""Reported Tests"" was intended to be the total. Texas' testing numbers may include multiple tests of a single prisoner or staff member and have been moved to the _with_multiples column."
Utah,UT,,,,4,,,,,,,182,,10,,10,0,5/27/20,The number of tests conducted was mistakenly placed in the column for the total number of people tested. This has been updated.
Vermont,VT,,,,20,,18,,0,,482,660,,45,,43,0,5/27/20,
Virginia,VA,,,,115,,,,,,12000,,,1149,,613,6,5/27/20,
Washington,WA,,,,43,,,,1,,456,,,41,,,,5/27/20,
West Virginia,WV,245,,,9,,1,,0,,,1117,,102,,0,0,5/27/20,"Prisoner test numbers are total number of tests conducted, not individuals tested. Until early November, West Virginia’s Department of Corrections and Rehabilitation reported staff cases for juvenile facilities and jails combined with prisons and work release. After they began providing itemized numbers on staff cases on Nov. 3, we only included staff numbers from prisons and work release sites in our data releases. In our online tracker, we have gone back to the past weeks of data and estimated the staff breakdown based on the overall size of the staff for each sector."
Wisconsin,WI,,,,39,,25,,0,,1467,,,65,,31,0,5/27/20,
Wyoming,WY,16,,,1,,,,0,,30,,,0,,,0,5/29/20,
Federal,US,,,,600,,413,,0,,,,,5239,,3361,65,5/27/20,
Alabama,AL,,,,36,,,,0,,138,,,9,,,1,5/19/20,
Alaska,AK,,,,11,,,,0,,442,,,2,,,0,5/21/20,
Arizona,AZ,,,,69,,,,0,,868,,,151,,,6,5/20/20,Email from ADC media 5/20 confirmed no staff deaths.
Arkansas,AR,,808,,135,,,,1,,,2696,,1246,,,8,5/19/20,"The number of tests conducted may include multiple tests for a single prisoner or staff member. They do not represent the unique number of prisoners or staff people tested. So we've put those figures in the _with_multiples columns, rather than the Staff_tests and Prisoner_tests columns."
California,CA,,,559,7498,189,5306,0,10,497,112802,,2274,24782,816,18844,93,12/8/20,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
Colorado,CO,,,,35,,,,,,3214,,,486,,,2,5/20/20,
Connecticut,CT,,,,373,,,,,,,,,684,,,6,5/20/20,
,,,,,,,,,,,,,,,,,,,
Florida,FL,,,,241,,,,0,,9690,,,1191,,,10,5/20/20,
Georgia,GA,,,,152,,,,1,,,,,401,,,15,5/20/20,"For most weeks prior to Sept. 15, the prisoner cases and recoveries for Georgia inadvertently counted some cases in private prisons and county facilities twice. These figures have been corrected throughout."
Hawaii,HI,,,,0,,,,0,,26,,,0,,,0,5/20/20,
Idaho,ID,75,,,5,,,,0,,55,,,0,,,0,5/20/20,"55 (46 in Idaho, 9 housed in Texas)"
Illinois,IL,,,,166,,,,0,,600,,,204,,,12,5/20/20,
Indiana,IN,1047,,,268,,,,2,,1221,,,631,,,17,5/20/20,Staff tests and cases and prisoners tests and cases were later revised to exclude three juvenile facilities administered by the corrections department.
Iowa,IA,,,,15,,,,0,,907,,,23,,,0,5/20/20,"said have had no new admits in a month, down from 22% over capacity to 10% over"
Kansas,KS,450,,,111,,,,2,,2084,,,865,,,4,5/20/20,"Kansas DOC originally released a slightly higher number of prisoners who tested positive, but later revised this figure. Kansas DOC said they could not provide an exact count for staff testing but gave this estimate. Staff cases and prisoner tests were later revised to exclude a juvenile facility administered by the corrections department."
Kentucky,KY,,,,52,,,,0,,,,,358,,,2,5/20/20,
Louisiana,LA,,,,164,,,,3,,,,,438,,,11,5/20/20,
Maine,ME,,,,1,,,,0,,156,,,1,,,0,5/20/20,
Maryland,MD,,,,233,,,,0,,,,,102,,,5,5/18/20,
Massachusetts,MA,,,,170,,,,0,,4767,,,380,,,8,5/17/20,On Aug. 27 we changed our Massachusetts data source to the Massachusetts Supreme Judicial Court. The previous dataset from the Department of Corrections excluded prisoner releases and staff recoveries. All data beginning with April 22 onward has been updated to use SJC figures.
Michigan,MI,,,,336,,,,2,,35760,,,3262,,,59,5/20/20,
Minnesota,MN,,,,50,,,,0,,879,,,116,,,0,5/20/20,
Mississippi,MS,53,,,9,,,,0,,56,,,20,,,1,5/20/20,
Missouri,MO,,,,27,,,,0,,588,,,44,,,1,5/20/20,
Montana,MT,,,,255,,,,0,,,,,1053,,,4,12/8/20,"Staff cases include 55 employees of the Crossroads Correctional Facility, run by CoreCivic. Initially this inadvertantly included a juvenile facility and has been updated."
Nebraska,NE,,,,10,,,,0,,,,,7,,,0,5/20/20,
Nevada,NV,,,,18,,,,0,,121,,,1,,,0,5/20/20,
New Hampshire,NH,,,,11,,,,0,,15,,,0,,,0,5/20/20,
New Jersey,NJ,,,,681,,,,3,,4620,,,830,,,43,5/20/20,Staff deaths based on media reports
New Mexico,NM,2248,,,5,,,,0,,1841,,,22,,,0,5/20/20,
New York,NY,,,,1228,,,,4,,1064,,,471,,,16,5/20/20,"61 parolees also have COVID, and 4 died."
North Carolina,NC,250,,,,,,,1,,1329,,,644,,,5,5/20/20,
North Dakota,ND,396,396,,,,,,0,,776,793,,4,,,0,5/20/20,"Iniitally 10 positive prisoner cases were reported, but due to a lab error, the state said 6 were false positives. In early January 2020, North Dakota's Department of Corrections and Rehabilitation revised its testing figures, back to the beginning of the pandemic. We have updated our figures here accordingly. Testing figures are from 5/19/20. Staff deaths were backfilled based on 5/27 data."
Ohio,OH,,,,622,,,,4,,8267,,,4550,,,61,5/20/20,Ohio later revised its numbers of COVID-related deaths downward after reviewing final death certificates.
Oklahoma,OK,,,,10,,,,0,,,1334,,2,,,0,5/19/20,The number of tests conducted was mistakenly placed in the column for people tested. This has been updated.
Oregon,OR,,,,38,,,,0,,,504,,143,,,1,5/21/20,"The number of tests conducted had been in the wrong column, for the number of prisoners tested, and has been corrected."
Pennsylvania,PA,608,,,160,,,,1,,1328,,,197,,,5,5/20/20,The number of prisoner cases and tests were later revised to exclude those who tested positive while released on parole.
Rhode Island,RI,651,,,12,,,,0,,350,,,7,,,0,5/20/20,"In early July, Rhode Island began releasing information on ""presumed positive"" cases which we are not including in these numbers and prompted us to revise our counts. For earlier weeks, we are reexamining the figures to try to remove the ""presumed"" cases from the counts and are withholding those figures for now."
South Carolina,SC,425,,,70,,,,1,,169,,,65,,,2,5/20/20,
South Dakota,SD,52,,,3,,,,0,,87,,,2,,,0,5/20/20,
Tennessee,TN,,,,74,,,,0,,,20752,,2649,,,4,5/20/20,"Since testing everyone in all of their prisons, Tennessee has said it is releasing the total number of tests conducted and positive cases, and not the number of individuals. One prisoner could have tested positive more than once in this sum."
Texas,TX,,12952,,750,,,,7,,,41223,,2214,,,32,5/20/20,"Earlier updates to the data overcounted the number of employee tests by adding ""Strike Team Tests"" to ""Reported Tests."" TDCJ has now confirmed that ""Reported Tests"" was intended to be the total. Texas' testing numbers may include multiple tests of a single prisoner or staff member and have been moved to the _with_multiples column."
Utah,UT,,,,4,,,,0,,,123,,10,,,0,5/20/20,All the positive cases are in halfway houses. The number of tests conducted was mistakenly placed in the column for the total number of people tested. This has been updated.
Vermont,VT,,,,20,,,,0,,318,,,45,,,0,5/20/20,"The ""positive results"" section of the Covid dashboard reflects 48 positives, but the dashboard notes that 3 of them are re-tests. The 223 inmate tests include 2 inmates housed at a private prison in Mississippi. / Confirmed with Rachel Feldman that deaths are still 0."
Virginia,VA,,,,74,,,,0,,8124,,,902,,,5,5/20/20,
Washington,WA,,,,42,,,,1,,423,,,34,,,0,5/20/20,
West Virginia,WV,203,,,3,,,,0,,48,,,2,,,0,5/20/20,"THe National Guard tested 203 staff members on Wed. results were not back, all 43 inmates were tested at the facility with two new positive inmates, most results not back. Until early November, West Virginia’s Department of Corrections and Rehabilitation reported staff cases for juvenile facilities and jails combined with prisons and work release. After they began providing itemized numbers on staff cases on Nov. 3, we only included staff numbers from prisons and work release sites in our data releases. In our online tracker, we have gone back to the past weeks of data and estimated the staff breakdown based on the overall size of the staff for each sector."
Wisconsin,WI,,,,33,,,,0,,782,,,40,,,0,5/20/20,
Wyoming,WY,16,,,1,,,,0,,22,,,0,,,0,5/20/20,
Federal,US,,,,577,,,,0,,,,,4664,,,59,5/20/20,
Alabama,AL,,,,25,,,,0,,125,,,9,,,1,5/13/20,
Alaska,AK,,,,10,,,,0,,256,,,1,,,0,5/12/20,
Arizona,AZ,,,,62,,,,0,,519,,,121,,,5,5/13/20,
Arkansas,AR,,,,,,,,0,,,2486,,1066,,,7,5/13/20,"The number of tests conducted may include multiple tests for a single prisoner. It does not represent the unique number of prisoners tested. So we've put those figures in the prisoner_tests_with_multiples column, rather than the Prisoner_tests column."
California,CA,,,1460,8958,840,6146,0,10,1882,114684,,5963,30745,2021,20865,101,12/15/20,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
Colorado,CO,,,,27,,,,0,,2723,,,479,,,2,5/13/20,
Connecticut,CT,,,,368,,,,0,,,,,526,,,6,5/13/20,
,,,,,,,,,,,,,,,,,,,
Florida,FL,,,,208,,,,0,,6392,,,843,,,9,5/13/20,
Georgia,GA,,,,140,,,,1,,,,,370,,,12,5/13/20,"For most weeks prior to Sept. 15, the prisoner cases and recoveries for Georgia inadvertently counted some cases in private prisons and county facilities twice. These figures have been corrected throughout."
Hawaii,HI,,,,0,,,,0,,24,,,0,,,0,5/13/20,
Idaho,ID,74,,,6,,,,0,,50,,,0,,,0,5/13/20,"Staff testing figures do not include figures for the private facilities that incarcerate IDOC inmates – CAPP and Eagle Pass Correctional Facility. Six staff positives,  5 are DOC employees, 1 is a GEO employee at the Eagle Pass Correctional Facility, in Texas."
Illinois,IL,,,,160,,,,0,,,,,192,,,12,5/14/20,
Indiana,IN,961,,,250,,,,2,,1136,,,579,,,16,5/13/20,Staff tests and cases and prisoners tests and cases were later revised to exclude three juvenile facilities administered by the corrections department.
Iowa,IA,,,,13,,,,0,,574,,,21,,,0,5/13/20,
Kansas,KS,,,,96,,,,2,,,,,790,,,3,5/13/20,They reported testing all prisoners at Lansing and Wichita work release. Staff cases and prisoner tests were later revised to exclude a juvenile facility administered by the corrections department.
Kentucky,KY,,,,52,,,,0,,,,,357,,,2,5/13/20,
Louisiana,LA,,,,134,,,,3,,,,,374,,,10,5/13/20,
Maine,ME,,,,1,,,,0,,28,,,0,,,0,5/13/20,
Maryland,MD,,,,213,,,,0,,,,,77,,,4,5/11/20,
Massachusetts,MA,,,,163,,,,0,,2825,,,367,,,7,5/10/20,On Aug. 27 we changed our Massachusetts data source to the Massachusetts Supreme Judicial Court. The previous dataset from the Department of Corrections excluded prisoner releases and staff recoveries. All data beginning with April 22 onward has been updated to use SJC figures.
Michigan,MI,,,,313,,,,2,,18099,,,2173,,,55,5/13/20,
Minnesota,MN,,,,48,,,,0,,758,,,111,,,0,5/13/20,
Mississippi,MS,46,,,8,,,,0,,47,,,10,,,1,5/13/20,
Missouri,MO,,,,26,,,,0,,513,,,44,,,1,5/13/20,
Montana,MT,,,,260,,,,0,,,,,1113,,,6,12/14/20,"Staff cases include 55 employees of the Crossroads Correctional Facility, run by CoreCivic."
Nebraska,NE,,,,9,,,,0,,,,,1,,,0,5/13/20,
Nevada,NV,,,,16,,,,0,,,,,0,,,0,5/13/20,
New Hampshire,NH,,,,11,,,,0,,14,,,0,,,0,5/13/20,
New Jersey,NJ,,,,599,,,,3,,603,,,538,,,42,5/13/20,NJ DOC does not confirm staff deaths but the unions and media reports cite 3.
New Mexico,NM,2248,,,4,,,,0,,1678,,,0,,,0,5/13/20,Tested 100 percent of their staff
New York,NY,,,,1192,,,,4,,725,,,443,,,16,5/13/20,
North Carolina,NC,250,,,29,,,,1,,1301,,,644,,,5,5/13/20,"Staff tests only from Neuse CI; staff death from sources, DOC not reporting"
North Dakota,ND,89,89,,,,,,0,,69,70,,0,,,0,5/13/20,"In early January 2020, North Dakota's Department of Corrections and Rehabilitation revised its testing figures, back to the beginning of the pandemic. We have updated our figures here accordingly. The test figures are from 5/12/20 Staff deaths were backfilled with 5/27 data."
Ohio,OH,,,,556,,,,2,,7541,,,4449,,,51,5/13/20,The number of deaths for this omitted two probable COVID-related deaths and has been updated. Ohio later revised its number of COVID-related deaths downward after reviewing death certificates.
Oklahoma,OK,,,,10,,,,0,,,1204,,2,,,0,5/13/20,
Oregon,OR,,,,32,,,,0,,,395,,113,,,0,5/13/20,"The number of tests conducted had been in the wrong column, for the number of prisoners tested, and has been corrected."
Pennsylvania,PA,541,,,148,,,,0,,668,,,181,,,3,5/13/20,The number of prisoner cases and tests were later revised to exclude those who tested positive while released on parole.
Rhode Island,RI,361,,,11,,,,0,,170,,,5,,,0,5/12/20,"In early July, Rhode Island began releasing information on ""presumed positive"" cases which we are not including in these numbers and prompted us to revise our counts. For earlier weeks, we are reexamining the figures to try to remove the ""presumed"" cases from the counts and are withholding those figures for now."
South Carolina,SC,425,,,63,,,,1,,152,,,60,,,2,5/13/20,
South Dakota,SD,50,,,3,,,,0,,86,,,2,,,0,5/14/20,
Tennessee,TN,,,,64,,,,0,,,19424,,2574,,,3,5/13/20,"Since testing everyone in all of their prisons, Tennessee has said it is releasing the total number of tests conducted and positive cases, and not the number of individuals. One prisoner could have tested positive more than once in this sum."
Texas,TX,,5142,,697,,,,7,,,9476,,1798,,,30,5/14/20,"Earlier updates to the data overcounted the number of employee tests by adding ""Strike Team Tests"" to ""Reported Tests."" TDCJ has now confirmed that ""Reported Tests"" was intended to be the total. Texas' testing numbers may include multiple tests of a single prisoner or staff member and have been moved to the _with_multiples column."
Utah,UT,,,,4,,,,0,,,115,,10,,,0,5/13/20,The number of tests conducted was mistakenly placed in the column for the total number of people tested. This has been updated.
Vermont,VT,,,,20,,,,0,,223,,,45,,,0,5/13/20,"For the first week, Vermont began releasing the total number of prisoners tested, rather than the total tests administered, so this figure dropped from weeks past. At the private prison in Mississippi that holds some Vermont prisoners, 2 were tested and 0 were positive."
Virginia,VA,,,,73,,,,0,,5605,,,725,,,5,5/13/20,
Washington,WA,,,,40,,,,,,379,,,26,,,0,5/13/20,Prisoner death backfilled from 5/20 update.
West Virginia,WV,,,,1,,,,0,,39,,,0,,,0,5/13/20,"Until early November, West Virginia’s Department of Corrections and Rehabilitation reported staff cases for juvenile facilities and jails combined with prisons and work release. After they began providing itemized numbers on staff cases on Nov. 3, we only included staff numbers from prisons and work release sites in our data releases. In our online tracker, we have gone back to the past weeks of data and estimated the staff breakdown based on the overall size of the staff for each sector."
Wisconsin,WI,,,,28,,,,0,,174,,,20,,,0,5/13/20,
Wyoming,WY,14,,,1,,,,0,,22,,,0,,,0,5/14/20,
Federal,US,,,,548,,,,0,,,,,4365,,,52,5/13/20,
Alabama,AL,,,,17,,,,0,,102,,,8,,,1,5/6/20,
Alaska,AK,,,,8,,,,0,,235,,,1,,,0,5/6/20,
Arizona,AZ,,,,52,,,,0,,277,,,69,,,5,5/6/20,
Arkansas,AR,,,,127,,,,0,,,,,944,,,5,5/7/20,
California,CA,,,1573,10531,974,7120,1,11,830,115514,,4121,34866,3249,24114,112,12/22/20,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
Colorado,CO,,,,25,,,,0,,1067,,,310,,,1,5/7/20,
Connecticut,CT,,,,358,,,,0,,,,,478,,,6,5/6/20,
,,,,,,,,,,,,,,,,,,,
Florida,FL,,,,180,,,,0,,805,,,393,,,7,5/6/20,
Georgia,GA,,,,100,,,,1,,,,,302,,,10,5/6/20,"For most weeks prior to Sept. 15, the prisoner cases and recoveries for Georgia inadvertently counted some cases in private prisons and county facilities twice. These figures have been corrected throughout."
Hawaii,HI,,,,0,,,,0,,20,,,0,,,0,5/6/20,
Idaho,ID,68,,,5,,,,0,,47,,,0,,,0,5/5/20,"Idaho's numbers have not included staff cases at 2 private prisons, one in the state (CAPP facility, operated by MTC) and Eagle Pass Correctional Facility in Texas."
Illinois,IL,,,,157,,,,0,,600,,,176,,,12,5/6/20,
Indiana,IN,811,,,208,,,,2,,840,,,496,,,13,5/6/20,Staff tests and cases and prisoners tests and cases were later revised to exclude three juvenile facilities administered by the corrections department.
Iowa,IA,,,,11,,,,0,,433,,,21,,,0,5/6/20,
Kansas,KS,,,,95,,,,0,,,,,615,,,3,5/6/20,Staff cases and prisoner tests were later revised to exclude a juvenile facility administered by the corrections department.
Kentucky,KY,,,,51,,,,0,,,,,340,,,2,5/6/20,
Louisiana,LA,,,,120,,,,3,,,,,338,,,4,5/6/20,
Maine,ME,,,,1,,,,0,,23,,,0,,,0,5/6/20,
Maryland,MD,,,,183,,,,0,,,,,61,,,2,5/4/20,
Massachusetts,MA,,,,146,,,,0,,1906,,,266,,,7,5/3/20,On Aug. 27 we changed our Massachusetts data source to the Massachusetts Supreme Judicial Court. The previous dataset from the Department of Corrections excluded prisoner releases and staff recoveries. All data beginning with April 22 onward has been updated to use SJC figures.
Michigan,MI,,,,293,,,,2,,8113,,,2073,,,47,5/6/20,
Minnesota,MN,,,,43,,,,0,,428,,,83,,,0,5/6/20,
Mississippi,MS,43,,,7,,,,0,,37,,,4,,,1,5/5/20,
Missouri,MO,,,,20,,,,0,,380,,,32,,,1,5/6/20,
Montana,MT,,,,,,,,,,,,,,,,,12/22/20,
Nebraska,NE,,,,5,,,,0,,,,,0,,,0,5/6/20,Staff deaths backfilled from 5/13 update.
Nevada,NV,,,,16,,,,0,,49,,,0,,,0,5/6/20,
New Hampshire,NH,,,,11,,,,0,,13,,,0,,,0,5/6/20,
New Jersey,NJ,,,,575,,,,2,,276,,,215,,,38,5/6/20,Staff deaths are from media reports
New Mexico,NM,64,,,4,,,,0,,14,,,0,,,0,5/6/20,
New York,NY,,,,1143,,,,4,,619,,,415,,,15,5/6/20,
North Carolina,NC,250,,,29,,,,0,,1234,,,627,,,4,5/6/20,Staff numbers only from Neuse CI
North Dakota,ND,,,,3,,,,0,,19,20,,0,,,0,5/1/20,"In early January 2020, North Dakota's Department of Corrections and Rehabilitation revised its testing figures, back to the beginning of the pandemic. We have updated our figures here accordingly."
Ohio,OH,,,,483,,,,2,,6922,,,4312,,,40,5/6/20,Ohio later revised its numbers of COVID-related deaths.
Oklahoma,OK,,,,9,,,,0,,,1034,,2,,,0,5/6/20,The number of tests conducted was mistakenly placed in the column for people tested. This has been updated.
